day_count,HistoricalDate,OPEN,CLOSE,daily_change,daily_change_perc,year
50,20-10-2022,17423.1,17563.95,140.85,0.808409525,2022
51,19-10-2022,17568.15,17512.25,-55.9,-0.318189451,2022
52,18-10-2022,17438.75,17486.95,48.2,0.276395957,2022
53,17-10-2022,17144.8,17311.8,167,0.974056274,2022
54,14-10-2022,17322.3,17185.7,-136.6,-0.788578884,2022
55,13-10-2022,17087.35,17014.35,-73,-0.427216625,2022
56,12-10-2022,17025.55,17123.6,98.05,0.575899163,2022
57,11-10-2022,17256.05,16983.55,-272.5,-1.579156296,2022
58,10-10-2022,17094.35,17241,146.65,0.857885793,2022
59,07-10-2022,17287.2,17314.65,27.45,0.158788005,2022
60,06-10-2022,17379.25,17331.8,-47.45,-0.273026742,2022
61,04-10-2022,17147.45,17274.3,126.85,0.739760139,2022
62,03-10-2022,17102.1,16887.35,-214.75,-1.255693745,2022
63,30-09-2022,16798.05,17094.35,296.3,1.763895214,2022
64,29-09-2022,16993.6,16818.1,-175.5,-1.032741738,2022
65,28-09-2022,16870.55,16858.6,-11.95,-0.070833494,2022
66,27-09-2022,17110.9,17007.4,-103.5,-0.604877593,2022
67,26-09-2022,17156.3,17016.3,-140,-0.816026766,2022
68,23-09-2022,17593.85,17327.35,-266.5,-1.514733842,2022
69,22-09-2022,17609.65,17629.8,20.15,0.114425897,2022
70,21-09-2022,17766.35,17718.35,-48,-0.270173671,2022
71,20-09-2022,17770.4,17816.25,45.85,0.258013326,2022
72,19-09-2022,17540.65,17622.25,81.6,0.465205109,2022
73,16-09-2022,17796.8,17530.85,-265.95,-1.494369774,2022
74,15-09-2022,18046.35,17877.4,-168.95,-0.936200395,2022
75,14-09-2022,17771.15,18003.75,232.6,1.30886296,2022
76,13-09-2022,18044.45,18070.05,25.6,0.141871878,2022
77,12-09-2022,17890.85,17936.35,45.5,0.254319946,2022
78,09-09-2022,17923.35,17833.35,-90,-0.502138272,2022
79,08-09-2022,17748.15,17798.75,50.6,0.285100137,2022
80,07-09-2022,17519.4,17624.4,105,0.599335594,2022
