day_count,date,OPEN,CLOSE,daily_change,daily_change_perc
133,17-07-2023,19612.15,19711.45,99.3,0.506318787
134,18-07-2023,19787.5,19749.25,-38.25,-0.193303853
135,19-07-2023,19802.95,19833.15,30.2,0.152502531
136,20-07-2023,19831.7,19979.15,147.45,0.743506608
137,21-07-2023,19800.45,19745,-55.45,-0.28004414
138,24-07-2023,19748.45,19672.35,-76.1,-0.385346698
139,25-07-2023,19729.35,19680.6,-48.75,-0.247093797
140,26-07-2023,19733.35,19778.3,44.95,0.22778697
141,27-07-2023,19850.9,19659.9,-191,-0.962173
142,28-07-2023,19659.75,19646.05,-13.7,-0.069685525
143,31-07-2023,19666.35,19753.8,87.45,0.444668177
144,01-08-2023,19784,19733.55,-50.45,-0.255004044
145,02-08-2023,19655.4,19526.55,-128.85,-0.655545041
146,03-08-2023,19463.75,19381.65,-82.1,-0.421809775
147,04-08-2023,19462.8,19517,54.2,0.278479972
148,07-08-2023,19576.85,19597.3,20.45,0.104460115
149,08-08-2023,19627.2,19570.85,-56.35,-0.287101573
150,09-08-2023,19578.8,19632.55,53.75,0.274531636
151,10-08-2023,19605.55,19543.1,-62.45,-0.318532252
152,11-08-2023,19554.25,19428.3,-125.95,-0.644105501
153,14-08-2023,19383.95,19434.55,50.6,0.261040706
154,16-08-2023,19369,19465,96,0.495637359
155,17-08-2023,19450.55,19365.25,-85.3,-0.43854801
156,18-08-2023,19301.75,19310.15,8.4,0.04351937
157,21-08-2023,19320.65,19393.6,72.95,0.377575289
158,22-08-2023,19417.1,19396.45,-20.65,-0.106349558
159,23-08-2023,19439.2,19444,4.8,0.024692374
160,24-08-2023,19535.15,19386.7,-148.45,-0.759912261
161,25-08-2023,19297.4,19265.8,-31.6,-0.16375263
162,28-08-2023,19298.35,19306.05,7.7,0.039899784
163,29-08-2023,19374.85,19342.65,-32.2,-0.166194835
164,30-08-2023,19433.45,19347.45,-86,-0.442535937
165,31-08-2023,19375.55,19253.8,-121.75,-0.628369259
166,01-09-2023,19258.15,19435.3,177.15,0.919870289
167,04-09-2023,19525.05,19528.8,3.75,0.019206097
168,05-09-2023,19564.65,19574.9,10.25,0.052390408
169,06-09-2023,19581.2,19611.05,29.85,0.152442138
170,07-09-2023,19598.65,19727.05,128.4,0.655147166
171,08-09-2023,19774.8,19819.95,45.15,0.228320893
172,11-09-2023,19890,19996.35,106.35,0.534690799
173,12-09-2023,20110.15,19993.2,-116.95,-0.581547129
174,13-09-2023,19989.5,20070,80.5,0.402711423
175,14-09-2023,20127.95,20103.1,-24.85,-0.123460164
176,15-09-2023,20156.45,20192.35,35.9,0.17810676
177,18-09-2023,20155.95,20133.3,-22.65,-0.112373766
178,20-09-2023,19980.75,19901.4,-79.35,-0.39713224
179,21-09-2023,19840.55,19742.35,-98.2,-0.494945957
180,22-09-2023,19744.85,19674.25,-70.6,-0.357561592
181,25-09-2023,19678.2,19674.55,-3.65,-0.018548444
182,26-09-2023,19682.8,19664.7,-18.1,-0.091958461
183,27-09-2023,19637.05,19716.45,79.4,0.404337719
184,28-09-2023,19761.8,19523.55,-238.25,-1.205608801
185,29-09-2023,19581.2,19638.3,57.1,0.291606235
186,03-10-2023,19622.4,19528.75,-93.65,-0.477260682
187,04-10-2023,19446.3,19436.1,-10.2,-0.052452137
188,05-10-2023,19521.85,19545.75,23.9,0.122426922
189,06-10-2023,19621.2,19653.5,32.3,0.164617862
190,09-10-2023,19539.45,19512.35,-27.1,-0.138693771
191,10-10-2023,19565.6,19689.85,124.25,0.635043137
192,11-10-2023,19767,19811.35,44.35,0.224363839
193,12-10-2023,19822.7,19794,-28.7,-0.144783506
194,13-10-2023,19654.55,19751.05,96.5,0.49098046
195,16-10-2023,19737.25,19731.75,-5.5,-0.027866091
196,17-10-2023,19843.2,19811.5,-31.7,-0.159752459
197,18-10-2023,19820.45,19671.1,-149.35,-0.753514678
198,19-10-2023,19545.2,19624.7,79.5,0.406749483
199,20-10-2023,19542.15,19542.65,0.5,0.002558572
200,23-10-2023,19521.6,19281.75,-239.85,-1.228639046
201,25-10-2023,19286.45,19122.15,-164.3,-0.851893428
202,26-10-2023,19027.25,18857.25,-170,-0.893455439
203,27-10-2023,18928.75,19047.25,118.5,0.62603183
204,30-10-2023,19053.4,19140.9,87.5,0.459235622
205,31-10-2023,19232.95,19079.6,-153.35,-0.797329583
206,01-11-2023,19064.05,18989.15,-74.9,-0.392886087
207,02-11-2023,19120,19133.25,13.25,0.069299163
208,03-11-2023,19241,19230.6,-10.4,-0.054051245
209,06-11-2023,19345.85,19411.75,65.9,0.340641533
210,07-11-2023,19404.05,19406.7,2.65,0.013656943
211,08-11-2023,19449.6,19443.5,-6.1,-0.031363113
212,09-11-2023,19457.4,19395.3,-62.1,-0.319158778
213,10-11-2023,19351.85,19425.35,73.5,0.379808649
214,12-11-2023,19547.25,19525.55,-21.7,-0.111013058
215,13-11-2023,19486.75,19443.55,-43.2,-0.221689096
216,15-11-2023,19651.4,19675.45,24.05,0.122383138
217,16-11-2023,19674.7,19765.2,90.5,0.459981601
218,17-11-2023,19674.75,19731.8,57.05,0.289965565
219,20-11-2023,19731.15,19694,-37.15,-0.188280967
220,21-11-2023,19770.9,19783.4,12.5,0.063224234
221,22-11-2023,19784,19811.85,27.85,0.140770319
222,23-11-2023,19828.45,19802,-26.45,-0.133394189
223,24-11-2023,19809.6,19794.7,-14.9,-0.075216057
224,28-11-2023,19844.65,19889.7,45.05,0.227013326
225,29-11-2023,19976.55,20096.6,120.05,0.600954619
226,30-11-2023,20108.5,20133.15,24.65,0.122584977
227,01-12-2023,20194.1,20267.9,73.8,0.365453276
228,04-12-2023,20601.95,20686.8,84.85,0.411854218
229,05-12-2023,20808.9,20855.1,46.2,0.222020386
230,06-12-2023,20950.75,20937.7,-13.05,-0.06228894
231,07-12-2023,20932.4,20901.15,-31.25,-0.149290096
232,08-12-2023,20934.1,20969.4,35.3,0.168624398
233,11-12-2023,20965.3,20997.1,31.8,0.151679203
234,12-12-2023,21018.55,20906.4,-112.15,-0.533576293
235,13-12-2023,20929.75,20926.35,-3.4,-0.016244819
236,14-12-2023,21110.4,21182.7,72.3,0.342485221
237,15-12-2023,21287.45,21456.65,169.2,0.794834515
238,18-12-2023,21434.8,21418.65,-16.15,-0.075344766
239,19-12-2023,21477.65,21453.1,-24.55,-0.11430487
240,20-12-2023,21543.5,21150.15,-393.35,-1.825840741
241,21-12-2023,21033.95,21255.05,221.1,1.051157771
242,22-12-2023,21295.85,21349.4,53.55,0.251457444
243,26-12-2023,21365.2,21441.35,76.15,0.356420722
244,27-12-2023,21497.65,21654.75,157.1,0.73077755
245,28-12-2023,21715,21778.7,63.7,0.293345614
246,29-12-2023,21737.65,21731.4,-6.25,-0.028751958
